Sagility,3.9,3.1k,BPO , Bengaluru ,28
S&P Global,4.0,3.1k,Analytics & KPO , Hyderabad ,47
Varroc Group,3.6,3.1k,Auto Components , Pune ,62
MSN Laboratories,3.6,3.1k,Pharma , Hyderabad ,105
Societe Generale Global Solution Centre,3.6,3.1k,IT Services & Consulting , Bengaluru ,23
Quest Global,3.5,3.1k,IT Services & Consulting , Bengaluru ,49
Afcons Infrastructure,4.2,3k,Engineering & Construction , Mumbai ,122
Torrent Pharmaceuticals,4.0,3k,Pharma , Ahmedabad ,131
Future Group,4.3,3k,Retail , Mumbai ,207
Ola Electric Mobility,3.3,3k,Automobile , Bengaluru ,434
ESAF Small Finance Bank,3.6,3k,Banking , Thrissur ,453
IDFC FIRST Bharat,4.2,3k,Financial Services , Chennai ,438
Square Yards,3.6,3k,Internet , Gurugram ,51
CMS IT Services,3.1,3k,IT Services & Consulting , Mumbai ,153
HDFC Sales,3.9,3k,Financial Services , Mumbai ,346
Zensar Technologies,3.7,3k,IT Services & Consulting , Pune ,29
DS Group,4.1,3k,FMCG , Noida ,285
I Process Services,3.8,3k,Recruitment , Mumbai ,406
Tata Elxsi,3.4,2.9k,IT Services & Consulting , Bengaluru ,30
Suzlon Group,4.0,3k,Power , Pune ,142
Bharat Financial Inclusion,3.6,2.9k,Financial Services , Hyderabad ,501
ACC,3.9,2.9k,Building Material , Mumbai ,274
Eternal Limited,3.6,2.9k,Internet , Gurugram ,220
VVDN Technologies,3.6,2.9k,IT Services & Consulting , Gurugram ,49
Fujitsu,3.8,2.9k,IT Services & Consulting , Pune ,41
Indus Towers,3.6,2.9k,Telecom , Gurugram ,243
Shoppers Stop,4.0,2.9k,Retail , Mumbai ,84
Nokia,4.0,2.9k,Telecom , Bengaluru ,167
Yazaki,3.9,2.9k,Auto Components , Pune ,94
IKS Health,3.6,2.9k,Healthcare , Mumbai ,31
Apollo Tyres,4.0,2.9k,Auto Components , Chennai ,180
Tata Electronics,3.9,2.8k,Semiconductors , Hosur ,53
Fiserv,2.8,2.8k,FinTech , Pune ,33
Shree Cement,3.8,2.8k,Building Material , Beawar ,257
Zepto,3.5,2.8k,Internet , Bengaluru ,106
Britannia,4.0,2.8k,FMCG , Pune ,306
Landmark Group,3.8,2.8k,Retail , Bengaluru ,175
UnitedHealth,4.0,2.8k,Healthcare , Hyderabad ,18
Dalmia Bharat Cement,3.9,2.8k,Building Material , Guwahati ,255
SRF,4.1,2.8k,Chemicals , Bharuch ,68
Blue Dart Express Ltd,3.9,2.8k,Logistics , Mumbai ,280
Nestlé,3.8,2.8k,FMCG , Gurugram ,281
Kansai Nerolac Paints,3.8,2.8k,Chemicals , Mumbai ,255
Exide Industries,3.4,2.7k,Auto Components , Kolkata ,200
Shell,3.9,2.7k,Oil & Gas , Bengaluru ,92
ZS,3.1,2.7k,Management Consulting , Pune ,17
KPMG Global Services,3.4,2.7k,Management Consulting , Bengaluru ,38
Flex,3.9,2.7k,Electronics Manufacturing , Chennai ,46
Whitehat jr,3.3,2.7k,EdTech , Mumbai ,48
Star Health & Allied Insurance,3.5,2.7k,Insurance , Chennai ,334
Micro Labs,3.6,2.7k,Pharma , Bengaluru ,153
TVS Supply Chain Solutions,3.8,2.7k,Logistics , Chennai ,154
ElasticRun,3.6,2.7k,Logistics , Pune ,389
Exl India,3.5,2.7k,Logistics , New Delhi ,45
Capita,3.5,2.7k,BPO , Pune ,31
KFintech,3.4,2.7k,Financial Services , Hyderabad ,114
Voltas,4.0,2.6k,Consumer Electronics & Appliances , Mumbai ,207
G4S,4.0,2.6k,Law Enforcement & Security , Gurugram ,165
Blue Star,4.1,2.6k,Consumer Electronics & Appliances , Mumbai ,148
Sonalika Tractors,3.6,2.6k,Automobile , Hoshiarpur ,196
Ajanta Pharma,3.9,2.6k,Pharma , Mumbai ,118
Care Health Insurance,3.6,2.6k,Insurance , Gurugram ,248
BlackBuck,3.7,2.6k,Internet , Bengaluru ,366
Physicswallah,3.6,2.6k,EdTech , Noida ,132
Movate,3.1,2.6k,IT Services & Consulting , Chennai ,38
Foxconn,3.9,2.6k,Electronics Manufacturing , Chennai ,63
Domino's Pizza,3.9,2.6k,Hospitality , New Delhi ,252
Gallagher,3.7,2.6k,Insurance , Bengaluru ,29
NoBroker,3.0,2.6k,Internet , Bengaluru ,47
Fortis Healthcare,4.0,2.6k,Healthcare , New Delhi ,70
Adani Power,3.7,2.6k,Power , Mundra ,128
Photon Interactive,4.1,2.6k,IT Services & Consulting , Chennai ,19
ACT Fibernet,3.8,2.6k,Telecom , Hyderabad ,57
DBS Bank,3.7,2.6k,Banking , Hyderabad ,179
Tata Advanced Systems,3.7,2.6k,Defence & Aerospace , Bengaluru ,58
Himalaya Wellness,4.0,2.6k,Pharma , Bengaluru ,243
Foundever,3.4,2.5k,BPO , Hyderabad ,22
Sahrudaya Healthcare (Medicover Hospitals),4.4,2.5k,Healthcare , Hyderabad ,46
BT Group,3.8,2.5k,Telecom , Gurugram ,25
IntouchCX,2.7,2.5k,BPO , Hyderabad ,22
V-Mart,4.0,2.5k,Retail , Gurugram ,285
Sterlite Technologies,3.8,2.5k,Hardware & Networking , Chhatrapati Sambhajinagar ,101
Alldigi Tech,3.9,2.5k,BPO , Chennai ,36
Bajaj Electricals,3.9,2.5k,Consumer Electronics & Appliances , Mumbai ,235
Laurus Labs,4.3,2.5k,Pharma , Visakhapatnam ,34
Tractors and Farm Equipment,3.9,2.5k,Industrial Machinery , Chennai ,192
JCB,3.9,2.5k,Industrial Machinery , Pune ,113
